sigla_uf,ano,pib,regiao
MA,2012,60490109,NORDESTE
PI,2012,28637685,NORDESTE
CE,2012,96973753,NORDESTE
RN,2012,46412208,NORDESTE
PB,2012,42488349,NORDESTE
PE,2012,127989043,NORDESTE
AL,2012,34650397,NORDESTE
SE,2012,32853181,NORDESTE
BA,2012,182572530,NORDESTE
MG,2012,442282830,SUDESTE
ES,2012,116850581,SUDESTE
RJ,2012,574884973,SUDESTE
SP,2012,1559033444,SUDESTE
PR,2012,285620202,SUL
SC,2012,191794652,SUL
RS,2012,287587019,SUL
MS,2012,62013201,CENTRO OESTE
MT,2012,79665691,CENTRO OESTE
GO,2012,138757825,CENTRO OESTE
DF,2012,164101336,NORDESTE
RO,2013,31121413,NORTE
AC,2013,11473930,NORTE
AM,2013,83051233,NORTE
RR,2013,9010725,NORTE
PA,2013,121224847,NORTE
AP,2013,12763486,NORTE
TO,2013,23796656,NORTE
MA,2013,67694845,NORDESTE
PI,2013,31283593,NORDESTE
CE,2013,109036556,NORDESTE
RN,2013,51518457,NORDESTE
PB,2013,46377299,NORDESTE
PE,2013,141150252,NORDESTE
AL,2013,37282529,NORDESTE
SE,2013,35335986,NORDESTE
BA,2013,204844274,NORDESTE
MG,2013,488004903,SUDESTE
ES,2013,117274347,SUDESTE
RJ,2013,628226069,SUDESTE
SP,2013,1715238417,SUDESTE
PR,2013,333481152,SUL
SC,2013,214512242,SUL
RS,2013,332292726,SUL
MS,2013,69203201,CENTRO OESTE
MT,2013,89212919,CENTRO OESTE
GO,2013,151300175,CENTRO OESTE
DF,2013,175906726,NORDESTE
RO,2014,34030982,NORTE
AC,2014,13458698,NORTE
AM,2014,86668644,NORTE
RR,2014,9744122,NORTE
PA,2014,124584945,NORTE
AP,2014,13400284,NORTE
TO,2014,26189323,NORTE
MA,2014,76842028,NORDESTE
PI,2014,37723497,NORDESTE
CE,2014,126054472,NORDESTE
RN,2014,54022584,NORDESTE
PB,2014,52936483,NORDESTE
PE,2014,155142648,NORDESTE
AL,2014,40974994,NORDESTE
SE,2014,37472432,NORDESTE
BA,2014,223929966,NORDESTE
MG,2014,516633984,SUDESTE
ES,2014,128783781,SUDESTE
RJ,2014,671076844,SUDESTE
SP,2014,1858196055,SUDESTE
PR,2014,348084191,SUL
SC,2014,242553371,SUL
RS,2014,357816424,SUL
MS,2014,78950133,CENTRO OESTE
MT,2014,101234520,CENTRO OESTE
GO,2014,165015318,CENTRO OESTE
DF,2014,197432059,NORDESTE
RO,2015,36563333,NORTE
AC,2015,13622802,NORTE
AM,2015,86568184,NORTE
RR,2015,10242905,NORTE
PA,2015,130899505,NORTE
AP,2015,13861293,NORTE
TO,2015,28930291,NORTE
MA,2015,78475994,NORDESTE
PI,2015,39149686,NORDESTE
CE,2015,130629849,NORDESTE
RN,2015,57250867,NORDESTE
PB,2015,56141890,NORDESTE
PE,2015,156963668,NORDESTE
AL,2015,46367211,NORDESTE
SE,2015,38556530,NORDESTE
BA,2015,245043690,NORDESTE
MG,2015,519331213,SUDESTE
ES,2015,120365980,SUDESTE
RJ,2015,659138952,SUDESTE
SP,2015,1939901907,SUDESTE
PR,2015,376962822,SUL
SC,2015,249079642,SUL
RS,2015,381992601,SUL
MS,2015,83082555,CENTRO OESTE
MT,2015,107418319,CENTRO OESTE
GO,2015,173632450,CENTRO OESTE
DF,2015,215612863,NORDESTE
RO,2016,39460359,NORTE
AC,2016,13754240,NORTE
AM,2016,89039782,NORTE
RR,2016,11013237,NORTE
PA,2016,138107514,NORTE
AP,2016,14342135,NORTE
TO,2016,31584816,NORTE
MA,2016,85310038,NORDESTE
PI,2016,41416937,NORDESTE
CE,2016,138422521,NORDESTE
RN,2016,59677389,NORDESTE
PB,2016,59104781,NORDESTE
PE,2016,167345031,NORDESTE
AL,2016,49468741,NORDESTE
SE,2016,38877438,NORDESTE
BA,2016,258738970,NORDESTE
MG,2016,544810468,SUDESTE
ES,2016,109264423,SUDESTE
