DATA;PRECO PETROLEO;PRECO DOLAR;PRECO GASOLINA
2010-01-24;74.2825;1.78537;2.59
2010-01-31;71.882;1.84649;2.614
2010-02-07;72.53999999999999;1.80045;2.611
2010-02-14;70.852;1.722625;2.599
2010-02-21;75.8;1.83657;2.569
2010-02-28;76.226;1.81666;2.543
2010-03-07;77.862;1.7918875;2.52
2010-03-14;79.364;1.7177;2.495
2010-03-21;79.054;1.77331;2.462
2010-03-28;78.382;1.80003;2.4530000000000003
2010-04-04;80.5875;1.7939666666666667;2.447
2010-04-11;83.88399999999999;1.74351;2.462
2010-04-18;85.23400000000001;1.75105;2.528
2010-04-25;84.608;1.7564799999999998;2.556
2010-05-02;85.982;1.7627000000000002;2.529
2010-05-09;82.49600000000001;1.7700099999999999;2.526
2010-05-16;78.324;1.7322375;2.512
2010-05-23;72.172;1.8402100000000001;2.502
2010-05-30;70.79;1.8486;2.478
2010-06-06;72.705;1.7840625;2.469
2010-06-13;72.762;1.7225899999999998;2.454
2010-06-20;76.218;1.7894700000000001;2.45
2010-06-27;76.642;1.7807;2.45
2010-07-04;73.85799999999999;1.77731;2.451
2010-07-11;73.9525;1.77912;2.455
2010-07-18;75.7;1.7460499999999999;2.466
2010-07-25;76.64200000000001;1.77451;2.506
2010-08-01;77.236;1.7591666666666665;2.512
2010-08-08;82.694;1.8127;2.517
2010-08-15;78.20599999999999;1.7109100000000002;2.527
2010-08-22;74.944;1.7563;2.516
2010-08-29;72.818;1.76362;2.528
2010-09-05;75.41;1.78682;2.526
2010-09-12;77.1675;1.746825;2.528
2010-09-19;78.438;1.71524;2.526
2010-09-26;78.378;1.7190400000000001;2.53
2010-10-03;79.82000000000001;1.7396833333333335;2.53
2010-10-10;83.866;1.7758749999999999;2.553
2010-10-17;83.114;1.67807;2.548
2010-10-24;81.426;1.68376;2.546
2010-10-31;82.248;1.70705;2.55
2010-11-07;85.596;1.7872500000000002;2.556
2010-11-14;87.42999999999999;1.7146000000000001;2.559
2010-11-21;83.94;1.7237500000000001;2.575
2010-11-28;83.505;1.7261099999999998;2.573
2010-12-05;88.1;1.7646214285714286;2.574
2010-12-12;90.248;1.7312375;2.588
2010-12-19;90.912;1.7019300000000002;2.592
2010-12-26;92.9;1.6986;2.588
2011-01-02;93.17;1.6753916666666668;2.59
2011-01-09;94.72200000000001;1.597425;2.593
2011-01-16;97.086;1.722725;2.595
2011-01-23;97.34;1.6747900000000002;2.597
2011-01-30;96.62;1.67328;2.6010000000000004
2011-02-06;100.358;1.63326;2.599
2011-02-13;99.904;1.6825875;2.609
2011-02-20;102.806;1.66782;2.61
2011-02-27;110.49249999999999;1.66862;2.617
2011-03-06;114.526;1.6339916666666667;2.62
2011-03-13;114.446;1.7292666666666667;2.623
2011-03-20;112.66600000000001;1.67083;2.653
2011-03-27;115.41199999999999;1.66083;2.6710000000000003
2011-04-03;116.49000000000001;1.6515714285714285;2.727
2011-04-10;123.03;1.64432;2.76
2011-04-17;123.572;1.623175;2.78
2011-04-24;122.735;1.5741;2.809
2011-05-01;125.36;1.5869499999999999;2.838
2011-05-08;119.56400000000001;1.5941999999999998;2.815
2011-05-15;114.52799999999999;1.7270375;2.781
2011-05-22;112.02000000000001;1.62058;2.715
2011-05-29;113.40599999999999;1.62228;2.698
2011-06-05;115.68;1.61633;2.681
2011-06-12;117.726;1.67932;2.668
2011-06-19;116.78799999999998;1.59455;2.66
2011-06-26;110.176;1.59384;2.654
2011-07-03;109.032;1.6191928571428573;2.6460000000000004
2011-07-10;115.39;1.6323900000000002;2.651
2011-07-17;117.72200000000001;1.65473;2.648
2011-07-24;118.19800000000001;1.56521;2.634
2011-07-31;117.69800000000001;1.5516400000000001;2.635
2011-08-07;112.654;1.6087699999999998;2.632
2011-08-14;105.304;1.7025375;2.632
2011-08-21;109.53600000000002;1.59516;2.643
2011-08-28;111.05799999999999;1.6043600000000002;2.664
2011-09-04;116.105;1.61952;2.675
2011-09-11;115.97;1.65091;2.69
2011-09-18;114.97999999999999;1.7349599999999998;2.7030000000000003
2011-09-25;111.984;1.8311199999999999;2.702
2011-10-02;107.69200000000001;1.789642857142857;2.709
2011-10-09;104.032;1.6177000000000001;2.7060000000000004
2011-10-16;111.58599999999998;1.753875;2.702
2011-10-23;111.47200000000001;1.76891;2.7060000000000004
2011-10-30;111.33400000000002;1.7378900000000002;2.709
2011-11-06;109.84;1.6510083333333334;2.702
2011-11-13;114.67999999999999;1.680675;2.698
2011-11-20;110.69000000000001;1.7717500000000002;2.7030000000000003
2011-11-27;106.66499999999999;1.8480800000000002;2.704
2011-12-04;110.054;1.75766;2.7060000000000004
2011-12-11;109.30999999999999;1.6584299999999998;2.705
2011-12-18;106.26199999999999;1.85345;2.704
2011-12-25;107.72200000000001;1.8554300000000001;2.7060000000000004
2012-01-01;107.50666666666666;1.86543;2.7060000000000004
2012-01-08;112.51;1.8891300000000002;2.704
2012-01-15;111.776;1.9482833333333334;2.7
2012-01-22;109.6;1.7735299999999998;2.697
2012-01-29;109.17999999999999;1.7528099999999998;2.692
2012-02-05;111.196;1.7945642857142856;2.681
2012-02-12;117.208;2.024625;2.6710000000000003
2012-02-19;119.79400000000001;1.7192;2.6660000000000004
2012-02-26;123.335;1.7116900000000002;2.6630000000000003
2012-03-04;124.88;1.7528333333333332;2.68
2012-03-11;126.624;2.00257;2.687
2012-03-18;126.22200000000001;1.86643;2.7
2012-03-25;124.346;1.81976;2.7
2012-04-01;124.42999999999999;1.8209916666666668;2.6860000000000004
2012-04-08;123.68666666666667;1.9541875;2.688
2012-04-15;120.8725;2.00095;2.688
2012-04-22;117.17999999999999;1.8645900000000002;2.6860000000000004
2012-04-29;118.096;1.88229;2.689
2012-05-06;116.674;1.8671599999999997;2.6910000000000003
2012-05-13;111.7775;2.0453900000000003;2.675
2012-05-20;109.86600000000001;2.00106;2.667
2012-05-27;108.144;2.04211;2.6660000000000004
2012-06-03;103.4725;1.9014142857142857;2.656
2012-06-10;99.03;1.98707;2.664
2012-06-17;97.214;2.0573;2.664
2012-06-24;92.458;2.04607;2.645
2012-07-01;91.226;2.06937;2.65
2012-07-08;98.80250000000001;1.8955899999999999;2.656
2012-07-15;99.882;2.0445875;2.648
2012-07-22;105.4;2.02603;2.65
2012-07-29;104.17999999999999;2.03284;2.6460000000000004
2012-08-05;107.274;1.8998599999999999;2.647
2012-08-12;112.494;2.0318125;2.642
2012-08-19;115.042;2.02223;2.635
2012-08-26;116.102;2.0199599999999998;2.638
2012-09-02;113.02000000000001;1.9677642857142856;2.636
2012-09-09;114.11;1.9215699999999998;2.634
2012-09-16;115.40799999999999;2.0311875;2.638
2012-09-23;111.832;2.02509;2.634
2012-09-30;110.354;2.02982;2.632
2012-10-07;111.40799999999999;1.8706299999999998;2.629
2012-10-14;114.876;2.0393375;2.624
2012-10-21;113.59200000000001;2.03241;2.612
2012-10-28;108.27000000000001;2.0262599999999997;2.655
2012-11-04;108.85;1.9455099999999999;2.763
2012-11-11;107.782;2.01796;2.793
2012-11-18;109.11800000000001;2.06931;2.801
2012-11-25;110.255;2.08837;2.802
2012-12-02;109.816;2.0417333333333336;2.805
2012-12-09;109.078;1.9538799999999998;2.8110000000000004
2012-12-16;109.096;2.06618;2.8080000000000003
2012-12-23;109.792;2.08063;2.805
2012-12-30;109.8125;2.06135;2.802
2013-01-06;112.3475;2.0148333333333333;2.7960000000000003
2013-01-13;112.372;2.24435;2.798
2013-01-20;111.346;2.03797;2.8
2013-01-27;113.7175;2.03766;2.824
2013-02-03;115.13199999999999;2.00514;2.931
2013-02-10;117.154;2.1902916666666665;2.9410000000000003
2013-02-17;118.098;2.0589125;2.923
2013-02-24;115.3;1.9645800000000002;2.917
2013-03-03;112.418;1.99029;2.911
2013-03-10;109.984;2.1679583333333334;2.904
2013-03-17;108.41;2.0693375;2.906
2013-03-24;107.328;1.99274;2.8960000000000004
2013-03-31;107.6825;2.01493;2.89
2013-04-07;107.06199999999998;2.07005;2.879
2013-04-14;103.248;2.2955;2.867
2013-04-21;98.092;1.99972;2.857
2013-04-28;100.60799999999999;2.0116;2.85
2013-05-05;101.53399999999999;1.9927800000000002;2.842
2013-05-12;103.774;2.2763916666666666;2.834
2013-05-19;102.90799999999999;2.02295;2.813
2013-05-26;102.298;2.04258;2.801
2013-06-02;102.0325;2.0733333333333333;2.783
2013-06-09;102.924;2.14058;2.763
2013-06-16;103.39200000000001;2.2266;2.759
2013-06-23;103.92999999999999;2.20809;2.747
2013-06-30;101.43199999999999;2.21181;2.73
2013-07-07;105.1825;2.02365;2.745
2013-07-14;108.258;2.269066666666667;2.767
2013-07-21;109.41199999999999;2.23646;2.778
2013-07-28;108.398;2.23991;2.7880000000000003
2013-08-04;108.606;2.108507142857143;2.7910000000000004
2013-08-11;108.556;2.2151699999999996;2.786
2013-08-18;110.726;2.32945;2.7880000000000003
2013-08-25;111.12;2.41104;2.784
2013-09-01;115.31800000000001;2.3149;2.776
2013-09-08;116.025;2.131825;2.77
2013-09-15;113.218;2.2746500000000003;2.76
2013-09-22;109.976;2.23219;2.75
2013-09-29;108.80199999999999;2.22179;2.758
2013-10-06;108.63399999999999;2.08325;2.756
2013-10-13;110.304;2.26095;2.757
2013-10-20;110.10799999999999;2.17224;2.787
2013-10-27;107.822;2.1851700000000003;2.864
2013-11-03;107.60999999999999;2.103392857142857;2.869
2013-11-10;104.53800000000001;2.1693100000000003;2.882
2013-11-17;107.098;2.32399;2.874
2013-11-24;109.324;2.2836;2.879
2013-12-01;111.315;2.30972;2.9610000000000003
2013-12-08;112.27799999999999;2.0972666666666666;2.978
2013-12-15;109.104;2.321725;2.983
2013-12-22;110.34;2.34053;2.989
2013-12-29;111.715;2.35774;2.994
2014-01-05;108.7325;2.31343;2.997
2014-01-12;107.01399999999998;2.34875;2.998
2014-01-19;107.828;2.3543700000000003;2.989
2014-01-26;109.14000000000001;2.37116;2.991
2014-02-02;108.83399999999999;2.4161;2.994
2014-02-09;107.73400000000001;2.2434800000000004;2.989
2014-02-16;109.124;2.463725;2.992
2014-02-23;109.74000000000001;2.38341;2.995
2014-03-02;109.172;2.3558142857142856;2.994
2014-03-09;109.14200000000001;2.27029;2.992
2014-03-16;108.01199999999999;2.44909;2.992
2014-03-23;106.532;2.33988;2.987
2014-03-30;106.54400000000001;2.2977;2.989
2014-04-06;105.26199999999999;2.3126100000000003;2.989
2014-04-13;106.50999999999999;2.35829;2.986
2014-04-20;109.07;2.2315600000000004;2.982
2014-04-27;109.20599999999999;2.23291;2.983
2014-05-04;109.15;2.28611;2.98
2014-05-11;108.47999999999999;2.30605;2.979
2014-05-18;109.532;2.28861;2.966
2014-05-25;110.718;2.2128699999999997;2.955
2014-06-01;109.62;2.2554833333333333;2.95
2014-06-08;108.984;2.2947800000000003;2.938
2014-06-15;110.978;2.3952666666666667;2.926
2014-06-22;114.28599999999999;2.23602;2.9130000000000003
2014-06-29;113.08600000000001;2.21171;2.89
2014-07-06;110.25750000000001;2.2907333333333333;2.881
2014-07-13;107.032;2.369825;2.884
2014-07-20;105.388;2.22754;2.887
2014-07-27;106.34200000000001;2.22042;2.899
2014-08-03;105.708;2.26911;2.919
2014-08-10;103.6;2.2645166666666667;2.934
2014-08-17;101.94;2.3545;2.937
2014-08-24;99.88;2.26107;2.939
2014-08-31;100.644;2.26005;2.937
2014-09-07;100.4525;2.25249;2.926
2014-09-14;97.32000000000001;2.4199166666666665;2.919
2014-09-21;97.018;2.34938;2.92
2014-09-28;95.01;2.40322;2.893
2014-10-05;93.40599999999999;2.36865;2.906
2014-10-12;90.186;2.383566666666667;2.908
2014-10-19;85.498;2.43261;2.901
2014-10-26;85.582;2.4783999999999997;2.904
2014-11-02;85.55799999999999;2.454725;2.9160000000000004
2014-11-09;83.036;2.2635333333333336;2.952
2014-11-16;79.902;2.598025;2.965
2014-11-23;77.622;2.57798;2.9730000000000003
2014-11-30;76.63;2.52914;2.974
2014-12-07;69.72200000000001;2.3056125;2.971
2014-12-14;64.078;2.453575;2.98
2014-12-21;59.774;2.68779;2.97
2014-12-28;58.6925;2.6821200000000003;2.97
2015-01-04;56.0275;2.76824;2.965
