Semana-Ano;PRECO GASOLINA;PRECO PETROLEO;MEDIA
21-2019;4.352;70.888;4.05598
21-2020;3.509;33.94;5.683
22-2004;1.993;37.952;3.1469
22-2005;2.134;50.458;2.51255
22-2006;2.444;68.748;2.2334428571428573
22-2007;2.414;68.44500000000001;1.9971500000000002
22-2008;2.331;128.7575;1.652
22-2009;2.393;62.195;2.0153
22-2010;2.469;72.705;1.7840625
22-2011;2.681;115.68;1.61633
22-2012;2.656;103.4725;1.9014142857142857
22-2013;2.783;102.0325;2.0733333333333333
22-2014;2.95;109.62;2.2554833333333333
22-2015;3.267;61.57;3.14635
22-2016;3.607;48.905;3.6851399999999996
22-2017;3.4160000000000004;50.233999999999995;3.191885714285714
22-2018;4.485;75.3475;3.5615
22-2019;4.324;69.28999999999999;3.9465916666666665
22-2020;3.57;33.7025;5.38371
23-2004;2.001;37.254;2.986875
23-2005;2.097;51.898;2.3271
23-2006;2.443;67.888;2.17914
23-2007;2.412;71.232;1.9529299999999998
23-2008;2.341;126.33400000000002;1.65975
23-2009;2.499;67.174;2.1923583333333334
23-2010;2.454;72.762;1.7225899999999998
23-2011;2.668;117.726;1.67932
23-2012;2.664;99.03;1.98707
23-2013;2.763;102.924;2.14058
23-2014;2.938;108.984;2.2947800000000003
23-2015;3.257;61.898;2.9659750000000003
23-2016;3.593;49.944;3.34568
23-2017;3.443;47.275999999999996;3.22936
23-2018;4.476;73.978;3.78249
23-2019;4.305;63.146;3.93625
23-2020;3.59;38.37;4.8624583333333335
24-2004;2.06;35.342;2.91165
24-2005;2.129;54.172000000000004;2.43181
24-2006;2.488;66.172;2.2582899999999997
24-2007;2.384;69.892;1.8649
24-2008;2.449;134.118;1.9786333333333335
24-2009;2.488;69.88;1.7657166666666668
24-2010;2.45;76.218;1.7894700000000001
24-2011;2.66;116.78799999999998;1.59455
24-2012;2.664;97.214;2.0573
24-2013;2.759;103.39200000000001;2.2266
24-2014;2.926;110.978;2.3952666666666667
24-2015;3.213;63.238;3.73695
24-2016;3.603;47.388;3.4677300000000004
24-2017;3.4210000000000003;46.182;3.2810699999999997
24-2018;4.457;74.25999999999999;3.7757999999999994
24-2019;4.2410000000000005;63.188;3.9819750000000003
24-2020;3.706;39.518;5.449466666666666
25-2004;2.123;35.089999999999996;3.1399
25-2005;2.146;56.952;2.3847899999999997
25-2006;2.54;68.33;2.24383
25-2007;2.354;71.78;1.91618
25-2008;2.423;132.08200000000002;1.6131800000000003
25-2009;2.4730000000000003;69.67999999999999;1.96101
25-2010;2.45;76.642;1.7807
25-2011;2.654;110.176;1.59384
25-2012;2.645;92.458;2.04607
25-2013;2.747;103.92999999999999;2.20809
25-2014;2.9130000000000003;114.28599999999999;2.23602
25-2015;3.199;60.653999999999996;3.0866599999999997
25-2016;3.59;48.122;3.3850300000000004
25-2017;3.369;44.626;3.32144
25-2018;4.41;74.11600000000001;3.75744
25-2019;4.221;64.038;3.8600300000000005
25-2020;3.793;40.948;5.23465
26-2004;2.109;34.708000000000006;3.1192
26-2005;2.198;56.688;2.4912214285714285
26-2006;2.533;71.81800000000001;2.2069083333333332
26-2007;2.354;71.758;1.9406299999999999
26-2008;2.419;135.54000000000002;1.6034
26-2009;2.462;67.576;1.9764400000000002
26-2010;2.451;73.85799999999999;1.77731
26-2011;2.6460000000000004;109.032;1.6191928571428573
26-2012;2.65;91.226;2.06937
26-2013;2.73;101.43199999999999;2.21181
26-2014;2.89;113.08600000000001;2.21171
26-2015;3.2030000000000003;60.84400000000001;3.10047
26-2016;3.592;47.092;3.5053583333333336
26-2017;3.384;46.162;3.275525
26-2018;4.353;75.238;3.82041
26-2019;4.168;66.50999999999999;3.8366999999999996
26-2020;3.89;41.694;5.28891
27-2004;2.104;34.001999999999995;3.055125
27-2005;2.219;57.984;2.40794
27-2006;2.507;73.45;2.1767583333333334
27-2007;2.406;74.785;2.0185199999999996
27-2008;2.4530000000000003;141.065;1.6992
27-2009;2.475;68.03;2.0907899999999997
27-2010;2.455;73.9525;1.77912
27-2011;2.651;115.39;1.6323900000000002
27-2012;2.656;98.80250000000001;1.8955899999999999
27-2013;2.745;105.1825;2.02365
27-2014;2.881;110.25750000000001;2.2907333333333333
27-2015;3.198;60.355999999999995;3.0193
27-2016;3.572;45.964;3.38385
27-2017;3.398;48.172000000000004;3.1759833333333334
27-2018;4.347;76.328;3.53613
27-2019;4.137;63.839999999999996;3.82849
27-2020;3.901;42.302;5.0495
28-2004;2.096;36.506;2.9913
28-2005;2.219;57.42999999999999;2.28212
28-2006;2.486;73.986;2.176425
28-2007;2.414;77.756;1.8331
28-2008;2.434;137.43400000000003;1.900725
28-2009;2.47;60.394000000000005;1.8274899999999998
28-2010;2.466;75.7;1.7460499999999999
28-2011;2.648;117.72200000000001;1.65473
28-2012;2.648;99.882;2.0445875
28-2013;2.767;108.258;2.269066666666667
28-2014;2.884;107.032;2.369825
28-2015;3.198;56.63199999999999;3.6273299999999997
28-2016;3.5810000000000004;45.538;3.28065
28-2017;3.364;47.104;3.239725
28-2018;4.341;75.28999999999999;3.894275
28-2019;4.107;65.978;4.041383333333333
28-2020;3.949;43.06;5.348599999999999
29-2004;2.091;37.763999999999996;2.9652000000000003
29-2005;2.235;56.391999999999996;2.34898
29-2006;2.555;73.51599999999999;2.19469
29-2007;2.435;78.244;1.86113
29-2008;2.365;135.052;1.59413
29-2009;2.477;61.108000000000004;1.9540199999999999
29-2010;2.506;76.64200000000001;1.77451
29-2011;2.634;118.19800000000001;1.56521
29-2012;2.65;105.4;2.02603
29-2013;2.778;109.41199999999999;2.23646
29-2014;2.887;105.388;2.22754
29-2015;3.2060000000000004;57.172000000000004;3.15076
29-2016;3.562;45.220000000000006;3.2647
29-2017;3.687;47.986000000000004;3.15388
29-2018;4.308;71.27000000000001;3.8415500000000002
29-2019;4.091;63.628;3.7490900000000003
29-2020;3.993;43.404;5.35948
3-2005;2.208;45.076;2.7081
3-2006;2.436;63.544000000000004;2.29808
3-2007;2.476;51.3975;2.1367000000000003
3-2008;2.417;90.03399999999999;1.7633800000000002
3-2009;2.435;42.384;2.21902
3-2010;2.59;74.2825;1.78537
3-2011;2.597;97.34;1.6747900000000002
3-2012;2.697;109.6;1.7735299999999998
3-2013;2.8;111.346;2.03797
3-2014;2.989;107.828;2.3543700000000003
3-2015;2.966;46.577999999999996;2.87963
3-2016;3.632;27.756;4.08543
3-2017;3.691;54.194;3.2145
3-2018;4.138;69.388;3.21449
3-2019;4.072;59.83;3.72975
3-2020;4.352;64.112;4.15439
3-2021;4.423;55.23;5.32843
30-2004;2.11;39.052;3.0218499999999997
30-2005;2.238;58.496;2.43582
30-2006;2.528;73.53;2.19354
30-2007;2.452;76.662;1.8772399999999998
30-2008;2.34;126.702;1.58027
30-2009;2.469;66.562;1.9008500000000002
30-2010;2.512;77.236;1.7591666666666665
30-2011;2.635;117.69800000000001;1.5516400000000001
30-2012;2.6460000000000004;104.17999999999999;2.03284
30-2013;2.7880000000000003;108.398;2.23991
30-2014;2.899;106.34200000000001;2.22042
30-2015;3.213;55.754;3.2344999999999997
30-2016;3.5780000000000003;42.546;3.2743700000000002
30-2017;3.73;49.95;3.1496299999999997
30-2018;4.265;74.0;3.74165
30-2019;4.071;62.8;3.76432
30-2020;4.03;43.568;5.2255400000000005
31-2004;2.117;40.664;3.05053
31-2005;2.249;60.416;2.5435499999999998
31-2006;2.498;76.316;2.17489
31-2007;2.454;76.338;2.02445
