DATA,SALARIO MINIMO DOLAR,grouper,Date,Price,GALOES_PETROLEO_POR_SALARIO
2007-07,202.12765957446808,2007-07,2007-07,76.92999999999999,2.6274231063885103
2007-08,193.87755102040816,2007-08,2007-08,70.76086956521739,2.7398978024389478
2007-09,200.0,2007-09,2007-09,77.17315789473685,2.5915746543998797
2007-10,211.11111111111111,2007-10,2007-10,82.34,2.563894961271692
2007-11,214.68926553672316,2007-11,2007-11,92.41428571428573,2.323117728794345
2007-12,212.2905027932961,2007-12,2007-12,90.92684210526316,2.3347396420908804
2008-01,234.4632768361582,2008-01,2008-01,92.17809523809524,2.5435899519353438
2008-02,239.88439306358381,2008-02,2008-02,94.9865,2.5254577551924093
2008-03,242.69005847953215,2008-03,2008-03,103.6355,2.341765693025384
2008-04,245.5621301775148,2008-04,2008-04,109.07136363636364,2.2513895672580193
2008-05,250.0,2008-05,2008-05,122.79714285714284,2.035877986923847
2008-06,256.1728395061728,2008-06,2008-06,132.32238095238094,1.9359751363479631
2008-07,261.00628930817606,2008-07,2008-07,132.71818181818182,1.9666204413932027
2008-08,257.76397515527947,2008-08,2008-08,113.24333333333334,2.276195583156737
2008-09,231.84357541899442,2008-09,2008-09,97.23476190476192,2.3843692407667656
2008-10,190.3669724770642,2008-10,2008-10,71.58217391304348,2.6594187081872924
2008-11,182.8193832599119,2008-11,2008-11,52.45263157894737,3.4854187055371524
2008-12,172.91666666666669,2008-12,2008-12,39.94681818181818,4.328671832625954
2009-01,201.2987012987013,2009-01,2009-01,43.4395,4.634001342066582
2009-02,200.43103448275863,2009-02,2009-02,43.32473684210526,4.62624932294959
2009-03,201.2987012987013,2009-03,2009-03,46.540454545454544,4.325241411256511
2009-04,210.40723981900453,2009-04,2009-04,50.18190476190476,4.19289066083306
2009-05,224.6376811594203,2009-05,2009-05,57.3025,3.9202073410308502
2009-06,237.24489795918367,2009-06,2009-06,68.60954545454545,3.457899281906202
2009-07,240.93264248704665,2009-07,2009-07,64.43545454545455,3.7391315726202587
2009-08,251.35135135135133,2009-08,2009-08,72.50857142857143,3.4665053579073595
2009-09,255.4945054945055,2009-09,2009-09,67.64619047619047,3.776923780865861
2009-10,267.2413793103448,2009-10,2009-10,72.76954545454545,3.672434363043722
2009-11,268.78612716763007,2009-11,2009-11,76.662,3.5061194224991525
2009-12,265.7142857142857,2009-12,2009-12,74.45636363636363,3.568724991889262
2010-01,286.51685393258424,2010-01,2010-01,76.16736842105263,3.7616745841699726
2010-02,277.17391304347825,2010-02,2010-02,73.75210526315789,3.7581830654797277
2010-03,284.91620111731845,2010-03,2010-03,78.82739130434783,3.6144314356068703
2010-04,289.77272727272725,2010-04,2010-04,84.81761904761905,3.4164213818598292
2010-05,280.2197802197802,2010-05,2010-05,75.94550000000001,3.689748309245185
2010-06,281.76795580110496,2010-06,2010-06,74.7609090909091,3.7689209404673742
2010-07,288.135593220339,2010-07,2010-07,75.58,3.812325922470746
2010-08,289.77272727272725,2010-08,2010-08,77.03954545454545,3.761350428056429
2010-09,296.51162790697674,2010-09,2010-09,77.8404761904762,3.8092216597109543
2010-10,303.57142857142856,2010-10,2010-10,82.6647619047619,3.6723196387013526
2010-11,298.2456140350877,2010-11,2010-11,85.2747619047619,3.4974663941973803
2010-12,301.7751479289941,2010-12,2010-12,91.44681818181816,3.300007085309331
2011-01,324.4047619047619,2011-01,2011-01,96.5235,3.3608889224361107
2011-02,326.34730538922156,2011-02,2011-02,103.71631578947368,3.146537773783351
2011-03,328.3132530120482,2011-03,2011-03,114.64347826086956,2.8637760995438066
2011-04,344.9367088607595,2011-04,2011-04,123.25888888888888,2.7984732944631765
2011-05,338.50931677018633,2011-05,2011-05,114.98904761904762,2.9438396419426747
2011-06,342.76729559748424,2011-06,2011-06,113.8331818181818,3.0111369121260596
2011-07,349.35897435897436,2011-07,2011-07,116.9735,2.9866506034185036
2011-08,340.625,2011-08,2011-08,110.21954545454544,3.0904228337656665
2011-09,311.42857142857144,2011-09,2011-09,112.83380952380952,2.760064317095096
2011-10,307.909604519774,2011-10,2011-10,109.55,2.8106764447263717
2011-11,304.46927374301674,2011-11,2011-11,110.76809523809524,2.748709121417699
2011-12,296.195652173913,2011-12,2011-12,107.8705,2.7458448062622587
2012-01,347.4860335195531,2012-01,2012-01,110.686,3.1393855909469406
2012-02,361.6279069767442,2012-02,2012-02,119.327,3.0305622950107205
2012-03,347.4860335195531,2012-03,2012-03,125.44545454545457,2.770016935078689
2012-04,336.2162162162162,2012-04,2012-04,119.42166666666668,2.8153703226624103
2012-05,314.14141414141415,2012-05,2012-05,110.3395238095238,2.84704341015381
2012-06,303.4146341463415,2012-06,2012-06,95.15571428571428,3.1886118077502896
2012-07,306.40394088669956,2012-07,2012-07,102.6185714285714,2.9858527225744402
2012-08,306.40394088669956,2012-08,2012-08,113.35608695652174,2.703021506063651
2012-09,306.40394088669956,2012-09,2012-09,112.8636842105263,2.714814273785
2012-10,306.40394088669956,2012-10,2012-10,111.7108695652174,2.7428301478561075
2012-11,300.48309178743966,2012-11,2012-11,109.05857142857144,2.755245074746306
2012-12,299.03846153846155,2012-12,2012-12,109.494,2.731094503246402
2013-01,333.99014778325125,2013-01,2013-01,112.96,2.9567116482228335
2013-02,344.16243654822335,2013-02,2013-02,116.05052631578948,2.9656258138089777
2013-03,342.42424242424244,2013-03,2013-03,108.474,3.1567402550310897
2013-04,339.0,2013-04,2013-04,102.24818181818182,3.3154623776373
2013-05,332.3529411764706,2013-05,2013-05,102.55863636363635,3.240613886460674
2013-06,312.44239631336404,2013-06,2013-06,102.9195,3.035793958514801
2013-07,301.3333333333333,2013-07,2013-07,107.93318181818182,2.7918507381811697
2013-08,289.7435897435898,2013-08,2013-08,111.28045454545456,2.6037239956208
2013-09,298.6784140969163,2013-09,2013-09,111.5965,2.67641381312959
2013-10,309.5890410958904,2013-10,2013-10,109.07652173913044,2.8382738664541365
